:: KAGAMI ::
:: 嘘は扉だ ::
:: 座標は画像の中にある ::
   k4g4m1.jp/grid

  9547,    9551,    9587,    9601,    9613,    9619,    9623,    9629,    9631,    9643
  9649,    9661,    9677,    9679,    9689,    9697,    9719,    9721,    9733,    9739
  9743,    9749,    9767,    9769,    9781,    9787,    9791,    9803,    9811,    9817
  9829,    9833,    9839,    9851,    9857,    9859,    9871,    9883,    9887,    9901
  9907,    9923,    9929,    9931,    9941,    9949,    9967,    9973,   10007,   10009
 10033,   10037,   10039,   10061,   10067,   10069,   10079,   10091,   10093,   10099
 10103,   10111,   10133,   10139,   10141,   10151,   10159,   10163,   10169,   10177
 10181,   10193,   10211,   10223,   10243,   10247,   10253,   10259,   10267,   10271
 10273,   10289,   10301,   10303,   10313,   10321,   10331,   10333,   10337,   10343
 10357,   10369,   10391,   10399,   10427,   10429,   10433,   10453,   10457,   10459



